Sample,Cluster1,Cluster2,Subspecies,Lat_final,Lon_final
AM172,1.84E-10,1,H. a. conferta,-24.89161,113.6586
AM173,1.78E-09,0.999999998,H. a. conferta,-24.89161,113.6586
AM174,1.07E-16,1,H. a. conferta,-24.89161,113.6586
AM176,8.81E-12,1,H. a. conferta,-24.89161,113.6586
AM177,1.87E-15,1,H. a. conferta,-24.89161,113.6586
AM178,1.22E-17,1,H. a. conferta,-24.89161,113.6586
AM179,8.95E-15,1,H. a. conferta,-24.89161,113.6586
AM180,6.67E-17,1,H. a. conferta,-24.89161,113.6586
AM182,9.05E-13,1,H. a. conferta,-32.2336,115.8005
AM184,3.75E-17,1,H. a. conferta,-32.2336,115.8005
AM185,1,2.03E-12,H. a. armigera,-32.2336,115.8005
AM186,5.43E-15,1,H. a. conferta,-32.2336,115.8005
AM187,4.23E-09,0.999999996,H. a. conferta,-32.2336,115.8005
AM188,3.51E-15,1,H. a. conferta,-27.56666667,151.45
AM189,6.79E-09,0.999999993,H. a. conferta,-27.56666667,151.45
AM190,4.18E-15,1,H. a. conferta,-27.56666667,151.45
AM191,4.72E-15,1,H. a. conferta,-27.46666667,153.0333333
AM192,1.16E-16,1,H. a. conferta,-27.55,151.3833333
AM193,3.72E-15,1,H. a. conferta,-37.62,144.97
AM196,3.57E-10,1,H. a. conferta,-27.66666667,152.2333333
AM197,2.03E-12,1,H. a. conferta,-27.66666667,152.2333333
AM198,1.38E-12,1,H. a. conferta,-34.6,146.35
AM199,3.02E-08,0.99999997,H. a. conferta,-34.5,144.85
AM201,3.22E-09,0.999999997,H. a. conferta,-27.35,151.1
AM202,1.84E-15,1,H. a. conferta,-27.35,151.1
AM203,9.39E-21,1,H. a. conferta,-27.35,151.1
AM204,5.10E-11,1,H. a. conferta,-27.35,151.1
AM205,0.999929611,7.04E-05,H. a. armigera,-27.35,151.1
AM206,5.86E-12,1,H. a. conferta,-20.73333333,139.4833333
AM207,2.07E-10,1,H. a. conferta,-20.73333333,139.4833333
AM208,1,1.65E-12,H. a. armigera,-20.73333333,139.4833333
AM214,0.999999839,1.61E-07,H. a. armigera,-27.88333333,151.2666667
AM215,4.33E-16,1,H. a. conferta,-27.88333333,151.2666667
AM217,1.63E-13,1,H. a. conferta,-27.88333333,151.2666667
AM221,6.09E-15,1,H. a. conferta,-30.2,149.6
AM222,3.63E-11,1,H. a. conferta,-30.2,149.6
AM227,3.87E-15,1,H. a. conferta,-30.2,149.6
AM228,2.62E-11,1,H. a. conferta,-30.2,149.6
AM229,1.22E-14,1,H. a. conferta,-30.2,149.6
AM230,8.19E-10,0.999999999,H. a. conferta,-30.2,149.6
AM231,2.37E-16,1,H. a. conferta,-30.2,149.6
AM233,7.17E-08,0.999999928,H. a. conferta,-30.2,149.6
AM235,8.22E-20,1,H. a. conferta,-17.26666667,145.4833333
AM237,4.76E-14,1,H. a. conferta,-33.88333333,151.2166667
AM244,2.54E-16,1,H. a. conferta,-35,150.75
AM245,1.34E-14,1,H. a. conferta,-35,150.75
AM246,8.62E-14,1,H. a. conferta,-35,150.75
AM249,2.58E-12,1,H. a. conferta,-33.88333333,151.2166667
AM250,2.74E-17,1,H. a. conferta,-33.88333333,151.2166667
AM252,2.89E-13,1,H. a. conferta,-17.08333333,145.7666667
AM253,2.46E-15,1,H. a. conferta,-17.08333333,145.7666667
AM262,5.62E-16,1,H. a. conferta,-17.08333333,145.7666667
AM265,3.67E-16,1,H. a. conferta,-17.26666667,145.4833333
AM271,4.17E-15,1,H. a. conferta,-16.91666667,145.7666667
AM275,2.80E-09,0.999999997,H. a. conferta,30.3324,149.7812
CA002,6.72E-17,1,H. a. conferta,30.3324,149.7812
CA003,1.70E-15,1,H. a. conferta,30.3324,149.7812
CA004,5.57E-15,1,H. a. conferta,30.3324,149.7812
CA005,1.02E-14,1,H. a. conferta,30.3324,149.7812
CA006,7.12E-15,1,H. a. conferta,30.3324,149.7812
CA007,1,8.20E-14,H. a. armigera,30.3324,149.7812
CA008,1,3.29E-14,H. a. armigera,30.3324,149.7812
CA009,5.47E-15,1,H. a. conferta,30.3324,149.7812
CA010,1.40E-15,1,H. a. conferta,30.3324,149.7812
CA011,4.12E-15,1,H. a. conferta,30.3324,149.7812
CA012,1,2.54E-14,H. a. armigera,30.3324,149.7812
CA013,1,4.84E-14,H. a. armigera,30.3324,149.7812
CA014,1.83E-15,1,H. a. conferta,30.3324,149.7812
CA015,4.89E-15,1,H. a. conferta,30.3324,149.7812
CA016,5.87E-15,1,H. a. conferta,30.3324,149.7812
CA017,1,8.32E-14,H. a. armigera,30.3324,149.7812
CA018,1,4.90E-14,H. a. armigera,30.3324,149.7812
CA019,4.69E-15,1,H. a. conferta,30.3324,149.7812
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
