Sample.ID,Percent.Mitogenome.Coverage,Year.of.collection,Australian.State.Territory.of.Collection,Latitude,Longitude
AM255,0,1928,QLD,-27.56666667,152.2833333
AM256,0,1928,QLD,-27.88333333,151.2666667
AM257,0,1929,NSW,-28.75,153.4
AM258,0,1929,NSW,-33.4,151.35
AM259,0,1929,NSW,-33.4,151.35
AM260,0,1929,NSW,-33.88333333,151.2166667
AM261,0,1929,QLD,-17.08333333,145.7666667
AM262,19.9518,1929,QLD,-17.08333333,145.7666667
AM263,0,1929,QLD,-17.08333333,145.7666667
AM264,0,1929,QLD,-17.08333333,145.7666667
AM265,18.414,1932,QLD,-17.26666667,145.4833333
AM266,0,1937,QLD,-24.4,150.5166667
AM267,0,1937,QLD,-24.4,150.5166667
AM268,0,1937,QLD,-24.4,150.5166667
AM269,0,1939,QLD,-27.48333333,152.9833333
AM270,0,1944,QLD,-19.66666667,147.4166667
AM271,11.6375,1950,QLD,-16.91666667,145.7666667
AM272,0,1950,QLD,-16.91666667,145.7666667
AM276,0,2015,LAB,-30.2,149.6
AM277,0,1959,QLD,-19.56666667,147.4
AM278,0,1959,QLD,-19.56666667,147.4
AM279,0,1959,QLD,-19.56666667,147.4
